Name,Link,Size,Extension,Bookmark,Category,MD5,SHA1,Deleted,Carved,Accessed,Modified,Created,Path,TrackId
SppExtComObj.Exe,,345802,exe,,Other files,AF757D2C656A10C666A5F59F057AFED0,C9403439D9128848E63396A992D8345181087D96,false,false,Tue Oct 02 20:12:07 BRT 2018,Tue Oct 02 20:12:07 BRT 2018,Sat Jul 16 10:18:34 BRT 2016,/SRVBSAWDC003-flat.vmdk/vol_vol3/Windows/WinSxS/amd64_microsoft-windows-security-spp-extcom_31bf3856ad364e35_10.0.14393.0_none_384d9e6f56c84cd8/SppExtComObj.Exe,5b2a39a463ed90406717fa202f58806d
sppsvc.exe,,2613831,exe,,Other files,C02B07538E545A1C622572B28822C1DE,ECAF7BE5F6AB8F91091B3975B55320B96E7DFAD8,false,false,Fri Jun 21 19:02:47 BRT 2024,Fri Jun 21 19:02:57 BRT 2024,Wed Oct 11 13:12:38 BRT 2023,/SRVBSAWDC003-flat.vmdk/vol_vol3/Windows/WinSxS/amd64_microsoft-windows-security-spp_31bf3856ad364e35_10.0.14393.5850_none_8fd78d197bbb34b7/sppsvc.exe,c7fb8d7ed4dc3f72546647e6f8430dee
sppsvc.exe,,1760960,exe,,Other files,0DFB507244750F680E335ABDEF6ECF81,4DDC8D3147EC607D096351F7C29D561B33D625C2,false,false,Fri Jun 21 19:02:57 BRT 2024,Fri Jun 21 19:03:06 BRT 2024,Sat Dec 23 07:18:53 BRT 2023,/SRVBSAWDC003-flat.vmdk/vol_vol3/Windows/WinSxS/amd64_microsoft-windows-security-spp_31bf3856ad364e35_10.0.14393.6522_none_8ff4d0557ba5c548/sppsvc.exe,4621e0e7fb97c73998cee38828073346
TokenBrokerCookies.exe,,793,exe,,Other files,8D284E8E38498868CF6737C85D891DFD,E725460D97373E13D8EBE9DD79A282E5996B3F89,false,false,Fri Oct 07 17:18:56 BRT 2022,Fri Oct 07 17:18:56 BRT 2022,Sat Jul 16 10:18:24 BRT 2016,/SRVBSAWDC003-flat.vmdk/vol_vol3/Windows/WinSxS/amd64_microsoft-windows-security-tokenbroker_31bf3856ad364e35_10.0.14393.0_none_d126e2afc14eb70a/TokenBrokerCookies.exe,5fea67fe5078ad61d1d68337ad3c108b
ktpass.exe,,1687,exe,,Other files,1AFF74FC112F8F0E85BA73373C058401,4903E8E72DD0C316BAE9A9F2D3763BDEF7C8B62C,false,false,Wed May 20 21:57:01 BRT 2020,Wed May 20 21:57:01 BRT 2020,Sat Jul 16 10:18:35 BRT 2016,/SRVBSAWDC003-flat.vmdk/vol_vol3/Windows/WinSxS/amd64_microsoft-windows-security-tools-ktpass_31bf3856ad364e35_10.0.14393.0_none_4214e1f283521918/ktpass.exe,e6b6941244d9a621953717181f27539e
nltest.exe,,29837,exe,,Other files,FAAA34E8EB1AE821F342932EF4DC5010,E323C99B96D000523DE74FA973C85AD6DCDEA9C2,false,false,Thu Nov 16 03:32:42 BRT 2023,Thu Nov 16 03:32:43 BRT 2023,Sat Jul 16 10:18:53 BRT 2016,/SRVBSAWDC003-flat.vmdk/vol_vol3/Windows/WinSxS/amd64_microsoft-windows-security-tools-nltest_31bf3856ad364e35_10.0.14393.0_none_c7d39108130b68b4/nltest.exe,d8cf585ebeb5a8e18e98e92a733c21d5
ksetup.exe,,38400,exe,,Programs and Libraries,DAA06B5201DC8CD4C4E9B9533B16AE2C,F5EC050C2E874A973CE94C30BE1D160DFD68521E,false,false,Thu Mar 03 09:41:58 BRT 2022,Wed Jan 05 08:52:19 BRT 2022,Thu Mar 03 09:41:58 BRT 2022,/SRVBSAWDC003-flat.vmdk/vol_vol3/Windows/WinSxS/amd64_microsoft-windows-security-tools-ksetup_31bf3856ad364e35_10.0.14393.4886_none_91e57277a8ee8ab4/ksetup.exe,327919a50591a022d94f37c578152fd4
ktpass.exe,,47104,exe,,Programs and Libraries,847F918DCAC5FD0E3162290C5ADE2F2A,F4CDDF83A3EF0909B3569C256DBC96D3DF887728,false,false,Thu Oct 17 14:42:19 BRT 2019,Tue Jul 09 00:18:11 BRT 2019,Thu Oct 17 14:42:19 BRT 2019,/SRVBSAWDC003-flat.vmdk/vol_vol3/Windows/WinSxS/amd64_microsoft-windows-security-tools-ktpass_31bf3856ad364e35_10.0.14393.3115_none_8a5de4b0c7331366/ktpass.exe,feea47e81d0cbf0d6beaa8b3a02faace
nltest.exe,,499200,exe,,Programs and Libraries,6CFD5DB2BFB7A540F80CE963710449A5,551D49DE86BEC7CFCC8D2396C77EC1B72CE87821,false,false,Wed Oct 11 13:12:12 BRT 2023,Thu Sep 14 00:48:41 BRT 2023,Wed Oct 11 13:12:12 BRT 2023,/SRVBSAWDC003-flat.vmdk/vol_vol3/Windows/WinSxS/amd64_microsoft-windows-security-tools-nltest_31bf3856ad364e35_10.0.14393.6343_none_100a280e56f9ab1c/nltest.exe,c50f27ca3612f65a66b825765dc52a90
AuthHost.exe,,15841,exe,,Other files,210C7962DF3B3638B1C4D2E2B8E3BB50,9C896B89A5B1A21F7276106CE638FF339F3A5A5C,false,false,Sat Jul 24 21:05:28 BRT 2021,Sat Jul 24 21:05:28 BRT 2021,Sat Jul 16 10:18:24 BRT 2016,/SRVBSAWDC003-flat.vmdk/vol_vol3/Windows/WinSxS/amd64_microsoft-windows-security-webauth_31bf3856ad364e35_10.0.14393.0_none_5917615c0d9fbd0e/AuthHost.exe,f1f2ae25cb2c41f536d10d8967a12ad2
